País de Origen,Sube tu archivo Excel con preguntas y respuestas,Pregunta o Frase,Respuesta Ideal,País,Cantidad,institucion,nombre_normalizado,tipo_institucion,subtipo_institucion
Ecuador,,¿Qué significa la expresión coloquial “me fue como a perro en iglesia” y en qué contextos se utiliza habitualmente?,"Significa que a alguien le fue muy mal en una situación o que fue tratado con rechazo y hostilidad. La analogía proviene de la idea de que un perro no es bienvenido dentro de un templo durante el culto, por lo que generalmente es echado a patadas o con gritos. Se utiliza para describir experiencias fallidas, desde una cita desastrosa hasta un mal día en el trabajo o un examen donde el trato fue severo.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Cómo puedo viajar a Colombia,Que embarque todo lo referente a lo investigado,Ecuador,1,"Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""",Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Cuando te das cuenta que está ya no es tu generación?,Cuando menores hablan con sus palabras y no los entiendes,Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Porque en el Ecuador es muy consumo el verde su region costan y su origen,"Es el tipo de plátano más apetecido en el Ecuador. Hay tantas delicias que lo incorporan en su preparación, que es prácticamente imposible escoger una favorita. ",Ecuador,1,Escuela Politecnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Como llega el verde al Ecuador y cuando se implemento como ingrediente principal en varios platillos,"Historia,Algunas culturas que lo consuman y platos tipicos",Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Vamos al camello?,"¡De ley, pero más lueguito!",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Vamos al camello?,"!De ley, pero mas lueguito !",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"A qué se refiere con ""camello"" en ecuador ",Es una expresión típica en ecuador que se usa para informar que va a trabajar o cosas relacionadas a trabajar,Ecuador,1,Laboratorio de investigación en inteligencia artificial - Escuela Politécnica Nacional,Laboratorio de investigación en inteligencia artificial - Escuela Politécnica Nacional,,
Ecuador,,Explica brevemente qué fue la Generación Decapitada dentro de la literatura ecuatoriana.,"La Generación Decapitada fue un movimiento literario ecuatoriano de inicios del siglo XX, influido por el modernismo, e integrado por Arturo Borja, Medardo Ángel Silva, Ernesto Noboa y Caamaño y Humberto Fierro. Sus obras se caracterizan por la presencia de temas como la tristeza, la soledad, el amor idealizado y la muerte, así como por una profunda introspección emocional.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Porqué las monedas Latinoamericanas son devaluadas?,"Las monedas Latinoamericanas, tienen una devaluación muy alta frente al dólar por las siguientes razones:
1. Endeudamiento externo y Gobernabilidad deficiente
En Latinoamérica la tensión política y el constante déficit fiscal  hacen que sea una región inestable y se repita constantemente un ciclo de endeudamiento.
2. La impresión del Gobierno
Muchos países de Latinoamérica tienen ""Soberanía Monetaria"". El Estado para cubrir el déficit que atraviesan, comienzan a imprimir dinero. Esta acción provoca  que al no existir suficiente demanda de productos en circulación y exista mayor oferta de dinero este mismo pierde su valor. Esto por el principio de oferta y demanda.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,me cachas lo que intento decir,Si entiendo a lo que te refieres y propongo lo siguiente,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Por qué el encebollado es tan famoso en el Ecuador y en qué ciudades se lo prepara diferente?,"Porque el encebollado es algo que se come casi todos los días, sobre todo en la Costa. Es barato,
llena bastante y muchos lo comen en la mañana. En lugares como Guayaquil, Manta o
Esmeraldas cambia el tipo de pescado y lo que se le pone encima.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,En qué bus vas voz ve?,"Jaja que gracioso, se nota que eres de Quito (UIO) ",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Por qué el ceviche es tan importante en la comida ecuatoriana?,"Porque se hace con productos frescos y es muy común en la Costa. Dependiendo de la zona 
cambia un poco, a veces es más ácido y en otras partes es más suave y con acompañamientos 
distintos.
",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
ECUADOR,,¿Por qué la fanesca es un plato tan conocido en el Ecuador?,"Porque se prepara en Semana Santa y casi todas las familias la hacen. Lleva varios granos y cada
casa le da su propio toque, por eso no siempre sabe igual.
",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es la colada morada y qué significado tiene en la tradición ecuatoriana?,"La colada morada es una bebida bien nuestra, típica del Ecuador, que no puede faltar en el Día de los Difuntos, cada 2 de noviembre. Se prepara con harina de maíz morado y una mezcla de frutas como mortiño, naranjilla, piña y babaco, más hierbitas y especias que le dan ese sabor único. Esta tradición viene desde tiempos ancestrales, mezclando costumbres indígenas con lo que llegó en la época colonial, y está ligada al recuerdo de nuestros guaguas y familiares que ya se nos adelantaron. Lo clásico es disfrutarla con guaguas de pan, unos pancitos en forma de persona que representan a los difuntos y que reúnen a la familia para compartir, acordarse y mantener viva la tradición.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Cual presidente dolarizo el Ecuador,Jamil Mahuad,Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Por qué el hornado es tan típico en la Sierra del Ecuador?,"Porque se prepara desde hace muchos años y es parte de las fiestas y mercados. Normalmente se
come con mote, papas y ají.",Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,"¿A que se refería Simón Bolívar con su frase ""Los Estados Unidos parecen destinados por la Providencia a plagar la América de miserias en nombre de la libertad."" Dentro de su contexto temporal?  ","Simón Bolívar escribió esa frase en 1829, cuando ya estaba profundamente desilusionado por la fragmentación de Hispanoamérica y observaba el rápido expansionismo de Estados Unidos, en ese contexto, no criticaba la libertad como ideal, sino que advertía que EE. UU. podía utilizar el discurso de la libertad como justificación para expandir su poder político y económico sobre una América Latina débil y dividida, algo que Bolívar percibía como una amenaza para la verdadera independencia y soberanía de las nuevas repúblicas.",Latam,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Por qué el hornado es tan típico en la Sierra del Ecuador?,"Porque se prepara desde hace muchos años y es parte de las fiestas y mercados. Normalmente se come con mote, papas y ají.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Por qué el llapingacho es tan representativo de la Sierra ecuatoriana?,"Porque está hecho de papa, que es muy común en la Sierra. Se vende mucho en mercados y 
ferias y casi siempre viene con huevo, chorizo y ají.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Explica qué es el Inti Raymi y cuál es su significado en la cultura indígena del Ecuador.,"El Inti Raymi es una festividad ancestral de origen andino que celebra al Inti, el dios Sol, y marca el solsticio de invierno, generalmente el 21 de junio. En el Ecuador, esta celebración tiene especial importancia en comunidades indígenas de la Sierra, donde simboliza el agradecimiento por las cosechas y el inicio de un nuevo ciclo agrícola. El Inti Raymi representa la conexión espiritual entre el ser humano, la naturaleza y el cosmos, e incluye rituales, danzas, música y ofrendas como expresión de reciprocidad y armonía con la Pachamama.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
